PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	jobid	dvdw
A0AV96	Q9NWB1	1	0	Dom_dom_model	5kwq	-	A	-	27.7	11.0	73	137	RRM_1	B	-	26.2	15.9	120	182	RRM_1	A0AV96-Q9NWB1-MDD-RRM_1-RRM_1-5kwq-A-114-186-B-114-186.pdb	m1	-13.2055399
A0AVK6	Q96AV8	1	0	Dom_dom_model	1cf7	-	A	-	37.0	7.2	115	180	E2F_TDP	B	-	25.6	6.9	145	211	E2F_TDP	A0AVK6-Q96AV8-MDD-E2F_TDP-E2F_TDP-1cf7-A-18-82-B-68-147.pdb	m2	-51.2150174
A0AVT1	O15205	2	0	Model	6dc6	2	C	0	42.5	95.8	38	1045	-	D	0	41.9	37.6	104	165	-	A0AVT1-O15205-MDL-6dc6.pdb2-C-0-D-0.pdb	m3	-89.9132958
A0AVT1	P0CG48	1	0	Model	3cmm	2	C	0	43.1	93.3	38	1019	-	D	0	96.1	11.1	153	228	-	A0AVT1-P0CG48-MDL-3cmm.pdb2-C-0-D-0.pdb	m4	-126.606081
A0AVT1	P0CG48	2	0	Model	6dc6	2	C	0	42.5	95.8	38	1045	-	D	0	100.0	11.1	533	608	-	A0AVT1-P0CG48-MDL-6dc6.pdb2-C-0-D-0.pdb	m5	-122.690188
A0AVT1	P0CG48	3	0	Model	6dc6	1	A	0	42.5	95.8	38	1045	-	B	0	100.0	11.1	381	456	-	A0AVT1-P0CG48-MDL-6dc6.pdb1-A-0-B-0.pdb	m6	-110.979251
A0FGR8	A0FGR9	2	0	Model	4p42	1	A	0	97.2	50.8	191	658	-	B	0	45.8	53.0	116	585	-	A0FGR8-A0FGR9-MDL-4p42.pdb1-A-0-B-0.pdb	m7	-263.111063
A0FGR8	A0FGR9	3	0	Model	4p42	1	B	0	92.3	50.7	192	658	-	A	0	47.5	53.3	114	585	-	A0FGR8-A0FGR9-MDL-4p42.pdb1-B-0-A-0.pdb	m8	-226.355477
A0FGR8	Q9BSJ8	2	0	Model	4p42	1	A	0	97.2	50.8	191	658	-	B	0	51.3	41.9	137	599	-	A0FGR8-Q9BSJ8-MDL-4p42.pdb1-A-0-B-0.pdb	m9	-243.283446
A0FGR8	Q9BSJ8	3	0	Model	4p42	1	B	0	92.3	50.7	192	658	-	A	0	54.4	42.1	135	599	-	A0FGR8-Q9BSJ8-MDL-4p42.pdb1-B-0-A-0.pdb	m10	-227.831437
A0FGR9	A0FGR9	3	0	Model	4p42	1	B	0	45.8	53.0	116	585	-	A	0	47.5	53.3	114	585	-	A0FGR9-A0FGR9-MDL-4p42.pdb1-B-0-A-0.pdb	m11	-260.117507
A0FGR9	Q9BSJ8	2	0	Model	4p42	1	B	0	45.8	53.0	116	585	-	A	0	54.4	42.1	135	599	-	A0FGR9-Q9BSJ8-MDL-4p42.pdb1-B-0-A-0.pdb	m12	-247.120998
A0FGR9	Q9BSJ8	3	0	Model	4p42	1	A	0	47.5	53.3	114	585	-	B	0	51.3	41.9	137	599	-	A0FGR9-Q9BSJ8-MDL-4p42.pdb1-A-0-B-0.pdb	m13	-219.448406
